BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
"202507","강원특별자치도 강릉시","51150","36198"
"202507","강원특별자치도 고성군","51820","32931"
"202507","강원특별자치도 동해시","51170","36278"
"202507","강원특별자치도 삼척시","51230","34913"
"202507","강원특별자치도 속초시","51210","35933"
"202507","강원특별자치도 양구군","51800","35858"
"202507","강원특별자치도 양양군","51830","34608"
"202507","강원특별자치도 영월군","51750","34451"
"202507","강원특별자치도 원주시","51130","37427"
"202507","강원특별자치도 인제군","51810","35551"
"202507","강원특별자치도 정선군","51770","34565"
"202507","강원특별자치도 철원군","51780","35581"
"202507","강원특별자치도 춘천시","51110","36760"
"202507","강원특별자치도 태백시","51190","35430"
"202507","강원특별자치도 평창군","51760","34850"
"202507","강원특별자치도 홍천군","51720","34707"
"202507","강원특별자치도 화천군","51790","34729"
"202507","강원특별자치도 횡성군","51730","34320"
"202507","경기도 가평군","41820","34949"
"202507","경기도 고양시 덕양구","41281","39986"
"202507","경기도 고양시 일산동구","41285","42916"
"202507","경기도 고양시 일산서구","41287","41548"
"202507","경기도 과천시","41290","52038"
"202507","경기도 광명시","41210","40517"
"202507","경기도 광주시","41610","37728"
"202507","경기도 구리시","41310","39288"
"202507","경기도 군포시","41410","39024"
"202507","경기도 김포시","41570","40264"
"202507","경기도 남양주시","41360","38414"
"202507","경기도 동두천시","41250","33295"
"202507","경기도 부천시 소사구","41194","37113"
"202507","경기도 부천시 오정구","41196","34175"
"202507","경기도 부천시 원미구","41192","38243"
"202507","경기도 성남시 분당구","41135","56166"
"202507","경기도 성남시 수정구","41131","37596"
"202507","경기도 성남시 중원구","41133","36588"
"202507","경기도 수원시 권선구","41113","38579"
"202507","경기도 수원시 영통구","41117","48412"
"202507","경기도 수원시 장안구","41111","38691"
"202507","경기도 수원시 팔달구","41115","37086"
"202507","경기도 시흥시","41390","36933"
"202507","경기도 안산시 단원구","41273","35359"
"202507","경기도 안산시 상록구","41271","35297"
"202507","경기도 안성시","41550","36109"
"202507","경기도 안양시 동안구","41173","44692"
"202507","경기도 안양시 만안구","41171","37743"
"202507","경기도 양주시","41630","35384"
"202507","경기도 양평군","41830","37730"
"202507","경기도 여주시","41670","35517"
"202507","경기도 연천군","41800","34878"
"202507","경기도 오산시","41370","38714"
"202507","경기도 용인시 기흥구","41463","44225"
"202507","경기도 용인시 수지구","41465","50415"
"202507","경기도 용인시 처인구","41461","37354"
"202507","경기도 의왕시","41430","42363"
"202507","경기도 의정부시","41150","35928"
"202507","경기도 이천시","41500","39072"
"202507","경기도 파주시","41480","38728"
"202507","경기도 평택시","41220","38898"
"202507","경기도 포천시","41650","33674"
"202507","경기도 하남시","41450","43493"
"202507","경기도 화성시","41590","44011"
"202507","경상남도 거제시","48310","40282"
"202507","경상남도 거창군","48880","35115"
"202507","경상남도 고성군","48820","34914"
"202507","경상남도 김해시","48250","37723"
"202507","경상남도 남해군","48840","32816"
"202507","경상남도 밀양시","48270","33919"
"202507","경상남도 사천시","48240","36547"
"202507","경상남도 산청군","48860","33910"
"202507","경상남도 양산시","48330","37206"
"202507","경상남도 의령군","48720","33501"
"202507","경상남도 진주시","48170","37940"
"202507","경상남도 창녕군","48740","34150"
"202507","경상남도 창원시 마산합포구","48125","36016"
"202507","경상남도 창원시 마산회원구","48127","36376"
"202507","경상남도 창원시 성산구","48123","43279"
"202507","경상남도 창원시 의창구","48121","37751"
"202507","경상남도 창원시 진해구","48129","38415"
"202507","경상남도 통영시","48220","35009"
"202507","경상남도 하동군","48850","33435"
"202507","경상남도 함안군","48730","35219"
"202507","경상남도 함양군","48870","34024"
"202507","경상남도 합천군","48890","33371"
"202507","경상북도 경산시","47290","33770"
"202507","경상북도 경주시","47130","35993"
"202507","경상북도 고령군","47830","33694"
"202507","경상북도 구미시","47190","39083"
