mega_cd,mega_nm,cty_cd,cty_nm,from_nm,to_nm,from_cd,to_cd,change_date,reverse
11,서울특별시,1130,강북구,번제1동,번1동,11305590,11305595,20190101,
11,서울특별시,1130,강북구,번제2동,번2동,11305600,11305603,20190101,
11,서울특별시,1130,강북구,번제3동,번3동,11305606,11305608,20190101,
11,서울특별시,1130,강북구,수유제1동,수유1동,11305610,11305615,20190101,
11,서울특별시,1130,강북구,수유제2동,수유2동,11305620,11305625,20190101,
11,서울특별시,1130,강북구,수유제3동,수유3동,11305630,11305635,20190101,
11,서울특별시,1153,구로구,오류2동,항동,11530780,11530800,20210101,1개에서1개추가생성
11,서울특별시,1174,강동구,상일동,상일제1동,11740520,11740525,20210701,
11,서울특별시,1174,강동구,강일동,상일제2동,11740515,11740526,20210701,1개에서1개추가생성
26,부산광역시,2716,동구,좌천제1동,좌천동,26170610,26170645,20150701,
26,부산광역시,2716,동구,좌천제4동,좌천동,26170640,26170645,20150701,
26,부산광역시,2617,동구,범일제4동,범일제1동,26170670,26170650,20160101,
26,부산광역시,2623,부산진구,범전동,부전1동,26230530,26230510,20151001,
26,부산광역시,2623,부산진구,전포3동,전포제1동,26230620,26230600,20150101,
26,부산광역시,2623,부산진구,범천제4동,범천제2동,26230790,26230780,20160101,
26,부산광역시,2635,해운대구,반송제3동,반송1동,26350630,26350610,20160101,
26,부산광역시,2635,해운대구,우제1동,우제3동,26350510,26350525,20151001,1개에서1개추가생성
26,부산광역시,2641,금정구,금사동,금사회동동,26410550,26410555,20181001,
26,부산광역시,2641,금정구,장전제3동,장전2동,26410620,26410610,20200101,
26,부산광역시,2644,강서구,천가동,가덕도동,26440570,26440580,20150701,
26,부산광역시,2644,강서구,명지동,명지1동,26440540,26440535,20180101,1개에서2개로분동
26,부산광역시,2644,강서구,명지동,명지2동,26440540,26440545,20180101,1개에서2개로분동
26,부산광역시,2671,기장군,정관면,정관읍,26710320,26710256,20150923,
26,부산광역시,2671,기장군,일광면,일광읍,26710310,26710259,20220401,
27,대구광역시,2714,동구,안심3.4동,안심3동,27140745,27140742,20200706,1개에서2개로분동
27,대구광역시,2714,동구,안심3.4동,안심4동,27140745,27140747,20200706,1개에서2개로분동
27,대구광역시,2714,동구,안심3.4동,혁신동,27140745,27140755,20200706,1개에서1개추가생성
27,대구광역시,2729,달서구,월성1동,유천동,27290602,27290617,20211129,2개에서1개추가생성
27,대구광역시,2729,달서구,진천동,유천동,27290615,27290617,20211129,2개에서1개추가생성
27,대구광역시,2771,달성군,유가면,유가읍,27710370,27710259,20180301,
27,대구광역시,2771,달성군,옥포면,옥포읍,27710340,27710262,20180301,
27,대구광역시,2771,달성군,현풍면,현풍읍,27710360,27710265,20180101,
28,인천광역시,2811,중구,영종동,영종1동,28110620,28110622,20180101,1개에서1개추가생성
28,인천광역시,2811,중구,북성동,개항동,28110600,28110615,20210701,
28,인천광역시,2811,중구,송월동,개항동,28110610,28110615,20210701,
